Packages,Technical Program,activity type,product name,Sessions per month,Validity,Ages,Client Numbers,Session time,Package Price, unit income ,Coach commission per unit, pool rent ,Net income per Package
Gymnastics,,,,,,,,,,,,,
Group Class,Gymnastics Program,staff booking,Vertex Group Super swimmers - 4 sessions,4,1,5 to 16 years old,6 kids Max,45 minutes,315 AED Per Kid,,,,
Group Class,Gymnastics Program,staff booking,Vertex Gymnastics Group,8,1 month,3 to 16 years old,6 kids Max,60 minutes,525 AED Per Kid,,,,
Group Class,Gymnastics Program,staff booking,Vertex Gymnastics Group,10,1 month,3 to 16 years old,6 kids Max,60 minutes,630 AED Per Kid,,,,
Group Class,Gymnastics Program,staff booking,Vertex Gymnastics Group,12,1 month,3 to 16 years old,6 kids Max,60 minutes,700 AED Per Kid,,,,
Group Class,Gymnastics Program,staff booking,Vertex Gymnastics Group,24,3 month,3 to 16 years old,6 kids Max,60 minutes,1260 AED Per Kid,,,,
Group Class,Gymnastics Program,staff booking,Vertex Gymnastics Group,36,3 month,3 to 16 years old,6 kids Max,60 minutes,1415 AED Per Kid,,,,
High levels training,USA programs,staff booking,Vertex Gymnastics Team,16,1 month,5 to 16 years old,10 kids Max,120 minutes,840 AED Per Kid,,,,
High levels training,USA programs,staff booking,Vertex Gymnastics Team,48,3 month,5 to 16 years old,10 kids Max,120 minutes,1880 AED Per Kid,,,,
Private class,PT,staff booking,Vertex Gymnastics (Private),Per sessions,one sessions,3 to 16 years old,1,60 minutes,150 AED Per Kid,,,,
BASKETBALL,,,,,,,,,,,,,
Group Class,FIBA Program,staff booking,Vertex Basketball,8,1 month,5 to 16 years old,10 kids Max,60 minutes,525 AED Per Kid,,,,
Group Class,FIBA Program,staff booking,Vertex Basketball,12,1 month,5 to 16 years old,10 kids Max,60 minutes,630 AED Per Kid,,,,
Group Class,FIBA Program,staff booking,Vertex Basketball,16,1 month,5 to 16 years old,10 kids Max,60 minutes,700 AED Per Kid,,,,
Private class,PT,staff booking,Vertex Basketball,Per sessions,one sessions,3 to 16 years old,1,60 minutes,150 AED Per Kid,,,,
combat soprts,,,,,,,,,,,,,
Group Class,MMA Program,staff booking,Vertex combat soprts,8,1 month,5 to 16 years old,10 kids Max,60 minutes,525 AED Per Kid,,,,
Group Class,MMA Program,staff booking,Vertex combat soprts,12,1 month,5 to 16 years old,10 kids Max,60 minutes,630 AED Per Kid,,,,
Group Class,MMA Program,staff booking,Vertex combat soprts,16,1 month,5 to 16 years old,10 kids Max,60 minutes,700 AED Per Kid,,,,
Private class,PT,staff booking,Vertex combat soprts,Per sessions,one sessions,3 to 16 years old,1,60 minutes,150 AED Per Kid,,,,
SWIMMING,,,,,,,,,,,,,
Group Class 4 sessinos,Super swimmers,staff booking,Vertex Group Super swimmers - 4 sessions,4,1,5 to 16 years old,6 kids Max,45 minutes,315 AED Per Kid,,,,
Group Class 8 sessions,Super swimmers,staff booking,Vertex Group Super swimmers - 8 sessions,8,1,5 to 16 years old,6 kids Max,45 minutes,525 AED Per Kid,,,,
Group Class 12 sessions,Super swimmers,staff booking,Vertex Group Super swimmers - 10 sessions,10,1,5 to 16 years old,6 kids Max,45 minutes,630 AED Per Kid,,,,
Group Class 16 sessions,Super swimmers,staff booking,Vertex Group Super swimmers - 12 sessions,12,1,5 to 16 years old,6 kids Max,45 minutes,700 AED Per Kid,,,,
Group Class 24 sessions,Super swimmers,staff booking,Vertex Group Pre Team - 12 sessions,12,1,5 to 16 years old,12 kids Max,75 minutes,630 AED Per Kid,,,,
Group Class 24 sessions,Super swimmers,staff booking,Vertex Group Pre Team - 12 sessions,36,3,5 to 16 years old,12 kids Max,75 minutes,1360 AED Per Kid,,,,
Group Class 24 sessions,Super swimmers,staff booking,Vertex Group Swimming Squad - 20 sessions,20,1,5 to 16 years old,20 kids Max,90 minutes,840 AED Per Kid,,,,
Group Class 36 sessions,Super swimmers,staff booking,Vertex Group Swimming Squad - 60 sessions,60,3,5 to 16 years old,20 kids Max,90 minutes,1880 AED Per Kid,,,,
semi private Class (1 to 2) 4 sessinos,Super swimmers,staff booking,Vertex Buddy Super swimmers - 4 sessions,4,1,5 to 16 years old,2,45 minutes,399 AED Per Kid,,,,
semi private Class (1 to 2) 8 sessions,Super swimmers,staff booking,Vertex Buddy Super swimmers - 8 sessions,8,1,5 to 16 years old,2,45 minutes,785 AED Per Kid,,,,
Private Class (1to1) 4 sessions,Super swimmers,staff booking,Vertex PT Super swimmers - 4 sessions,4,1,5 to 16 years old,1,45 minutes,699 AED Per Kid,,,,
Private Class (1to1) 8 sessions,Super swimmers,staff booking,Vertex PT Super swimmers - 8 sessions,8,1,5 to 16 years old,1,45 minutes,1270 AED Per Kid,,,,
first steps Class,Seals first steps,staff booking,vertex Group seals - 8 sessions,8,1,3 to 4 years old,3 kids Max,40 minutes,630 AED Per Kid,,,,
Baby class,Babies swimming,staff booking,Vertex Babies swimming - 8 sessions,8,1,2 month to 2 years old,1,40 minutes,1270 AED Per Kid,,,,
Private Session,as needed,staff booking,vertex PT - 1 session,Per sessions,As needed,Any,1,60 minutes,150 AED Per Kid,,,,
Aqua aerobic session,Aqua aerobic,staff booking,vertex Aqua aerobic swimming - 1 session,Per sessions,As needed,over 12 years old,20 Max,45 minutes,75 AED Per person,,,,
Moms & Babies,Babies swimming,staff booking,Vertex Moms & Babies swimming - 1 session,Per sessions,As needed,2 months to 3 years old,1,45 minutes,250 AED Per Kid,,,,
Adult class,adult program,staff booking,Vertex adult exercise- 8 sessions,8,1,over 16 years old,6 Max,45 minutes,630 AED Per Kid,,,,
school offers,As needed,staff booking,as needed,As needed,As needed,5 to 16 years old,As per the deal,As per the deal,As deal,,,,
FOOTBALL,,,,,,,,,,,,,
Group Class,FIFA Program,staff booking,Vertex Football,8,1 month,5 to 16 years old,10 kids Max,60 minutes,400 AED Per Kid,,,,
Group Class,FIFA Program,staff booking,Vertex Football,12,1 month,5 to 16 years old,10 kids Max,60 minutes,550 AED Per Kid,,,,
Private class,PT,staff booking,Vertex Football,Per sessions,one sessions,3 to 16 years old,1,60 minutes,150 AED Per Kid,,,,
